game_id,model,language,risk_probability,persona_set,persona_seats,memory_mode,framing,risk_framing,show_computed_totals,group_total,target,target_reached,catastrophe,mean_payoff,rep,seed
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__en__rep0,OpenAIGPT5Nano,en,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,208.0,120.0,1,0,5.333333333333333,0,12345
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__en__rep1,OpenAIGPT5Nano,en,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,216.0,120.0,1,0,4.0,1,12346
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__en__rep2,OpenAIGPT5Nano,en,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,202.0,120.0,1,0,6.333333333333333,2,12347
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__en__rep3,OpenAIGPT5Nano,en,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,206.0,120.0,1,0,5.666666666666667,3,12348
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__en__rep4,OpenAIGPT5Nano,en,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,212.0,120.0,1,0,4.666666666666667,4,12349
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__vn__rep0,OpenAIGPT5Nano,vn,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,74.0,120.0,0,1,0.0,0,12345
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__vn__rep1,OpenAIGPT5Nano,vn,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,82.0,120.0,0,1,0.0,1,12346
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__vn__rep2,OpenAIGPT5Nano,vn,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,78.0,120.0,0,1,0.0,2,12347
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__vn__rep3,OpenAIGPT5Nano,vn,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,80.0,120.0,0,1,0.0,3,12348
crsd_milinski_high_risk__OpenAIGPT5Nano__personas_cooperative__vn__rep4,OpenAIGPT5Nano,vn,0.9,personas_cooperative,CCCCCC,full_history,0,lottery,0,70.0,120.0,0,1,0.0,4,12349
