game_id,model,language,risk_probability,persona_set,persona_seats,memory_mode,framing,risk_framing,show_computed_totals,group_total,target,target_reached,catastrophe,mean_payoff,rep,seed
crsd_milinski_high_risk__OpenAIGPT5Nano__en__rep0,OpenAIGPT5Nano,en,0.9,personas_default,NNNNNN,full_history,0,lottery,0,214.0,120.0,1,0,4.333333333333333,0,12345
crsd_milinski_high_risk__OpenAIGPT5Nano__en__rep1,OpenAIGPT5Nano,en,0.9,personas_default,NNNNNN,full_history,0,lottery,0,216.0,120.0,1,0,4.0,1,12346
crsd_milinski_high_risk__OpenAIGPT5Nano__en__rep2,OpenAIGPT5Nano,en,0.9,personas_default,NNNNNN,full_history,0,lottery,0,218.0,120.0,1,0,3.6666666666666665,2,12347
crsd_milinski_high_risk__OpenAIGPT5Nano__en__rep3,OpenAIGPT5Nano,en,0.9,personas_default,NNNNNN,full_history,0,lottery,0,204.0,120.0,1,0,6.0,3,12348
crsd_milinski_high_risk__OpenAIGPT5Nano__en__rep4,OpenAIGPT5Nano,en,0.9,personas_default,NNNNNN,full_history,0,lottery,0,212.0,120.0,1,0,4.666666666666667,4,12349
crsd_milinski_high_risk__OpenAIGPT5Nano__vn__rep0,OpenAIGPT5Nano,vn,0.9,personas_default,NNNNNN,full_history,0,lottery,0,58.0,120.0,0,1,0.0,0,12345
crsd_milinski_high_risk__OpenAIGPT5Nano__vn__rep1,OpenAIGPT5Nano,vn,0.9,personas_default,NNNNNN,full_history,0,lottery,0,60.0,120.0,0,1,0.0,1,12346
crsd_milinski_high_risk__OpenAIGPT5Nano__vn__rep2,OpenAIGPT5Nano,vn,0.9,personas_default,NNNNNN,full_history,0,lottery,0,58.0,120.0,0,1,0.0,2,12347
crsd_milinski_high_risk__OpenAIGPT5Nano__vn__rep3,OpenAIGPT5Nano,vn,0.9,personas_default,NNNNNN,full_history,0,lottery,0,60.0,120.0,0,1,0.0,3,12348
crsd_milinski_high_risk__OpenAIGPT5Nano__vn__rep4,OpenAIGPT5Nano,vn,0.9,personas_default,NNNNNN,full_history,0,lottery,0,48.0,120.0,0,1,0.0,4,12349
crsd_milinski_medium_risk__OpenAIGPT5Nano__en__rep0,OpenAIGPT5Nano,en,0.5,personas_default,NNNNNN,full_history,0,lottery,0,210.0,120.0,1,0,5.0,0,12345
crsd_milinski_medium_risk__OpenAIGPT5Nano__en__rep1,OpenAIGPT5Nano,en,0.5,personas_default,NNNNNN,full_history,0,lottery,0,210.0,120.0,1,0,5.0,1,12346
crsd_milinski_medium_risk__OpenAIGPT5Nano__en__rep2,OpenAIGPT5Nano,en,0.5,personas_default,NNNNNN,full_history,0,lottery,0,200.0,120.0,1,0,6.666666666666667,2,12347
crsd_milinski_medium_risk__OpenAIGPT5Nano__en__rep3,OpenAIGPT5Nano,en,0.5,personas_default,NNNNNN,full_history,0,lottery,0,218.0,120.0,1,0,3.6666666666666665,3,12348
crsd_milinski_medium_risk__OpenAIGPT5Nano__en__rep4,OpenAIGPT5Nano,en,0.5,personas_default,NNNNNN,full_history,0,lottery,0,216.0,120.0,1,0,4.0,4,12349
crsd_milinski_medium_risk__OpenAIGPT5Nano__vn__rep0,OpenAIGPT5Nano,vn,0.5,personas_default,NNNNNN,full_history,0,lottery,0,78.0,120.0,0,1,0.0,0,12345
crsd_milinski_medium_risk__OpenAIGPT5Nano__vn__rep1,OpenAIGPT5Nano,vn,0.5,personas_default,NNNNNN,full_history,0,lottery,0,78.0,120.0,0,1,0.0,1,12346
crsd_milinski_medium_risk__OpenAIGPT5Nano__vn__rep2,OpenAIGPT5Nano,vn,0.5,personas_default,NNNNNN,full_history,0,lottery,0,78.0,120.0,0,1,0.0,2,12347
crsd_milinski_medium_risk__OpenAIGPT5Nano__vn__rep3,OpenAIGPT5Nano,vn,0.5,personas_default,NNNNNN,full_history,0,lottery,0,56.0,120.0,0,1,0.0,3,12348
crsd_milinski_medium_risk__OpenAIGPT5Nano__vn__rep4,OpenAIGPT5Nano,vn,0.5,personas_default,NNNNNN,full_history,0,lottery,0,64.0,120.0,0,1,0.0,4,12349
crsd_milinski_low_risk__OpenAIGPT5Nano__en__rep0,OpenAIGPT5Nano,en,0.1,personas_default,NNNNNN,full_history,0,lottery,0,210.0,120.0,1,0,5.0,0,12345
crsd_milinski_low_risk__OpenAIGPT5Nano__en__rep1,OpenAIGPT5Nano,en,0.1,personas_default,NNNNNN,full_history,0,lottery,0,214.0,120.0,1,0,4.333333333333333,1,12346
crsd_milinski_low_risk__OpenAIGPT5Nano__en__rep2,OpenAIGPT5Nano,en,0.1,personas_default,NNNNNN,full_history,0,lottery,0,204.0,120.0,1,0,6.0,2,12347
crsd_milinski_low_risk__OpenAIGPT5Nano__en__rep3,OpenAIGPT5Nano,en,0.1,personas_default,NNNNNN,full_history,0,lottery,0,196.0,120.0,1,0,7.333333333333333,3,12348
crsd_milinski_low_risk__OpenAIGPT5Nano__en__rep4,OpenAIGPT5Nano,en,0.1,personas_default,NNNNNN,full_history,0,lottery,0,204.0,120.0,1,0,6.0,4,12349
crsd_milinski_low_risk__OpenAIGPT5Nano__vn__rep0,OpenAIGPT5Nano,vn,0.1,personas_default,NNNNNN,full_history,0,lottery,0,66.0,120.0,0,0,29.0,0,12345
crsd_milinski_low_risk__OpenAIGPT5Nano__vn__rep1,OpenAIGPT5Nano,vn,0.1,personas_default,NNNNNN,full_history,0,lottery,0,60.0,120.0,0,0,30.0,1,12346
crsd_milinski_low_risk__OpenAIGPT5Nano__vn__rep2,OpenAIGPT5Nano,vn,0.1,personas_default,NNNNNN,full_history,0,lottery,0,60.0,120.0,0,0,30.0,2,12347
crsd_milinski_low_risk__OpenAIGPT5Nano__vn__rep3,OpenAIGPT5Nano,vn,0.1,personas_default,NNNNNN,full_history,0,lottery,0,56.0,120.0,0,1,0.0,3,12348
crsd_milinski_low_risk__OpenAIGPT5Nano__vn__rep4,OpenAIGPT5Nano,vn,0.1,personas_default,NNNNNN,full_history,0,lottery,0,64.0,120.0,0,1,0.0,4,12349
