kind,status,p,resident,entrant,entrant_seats,games,entrant_payoff,resident_table_payoff,selfplay_games,resident_selfplay,gap_selfplay,gap_table,initial_fitness_gap_N6,fixation_N6,initial_fitness_gap_N30,fixation_N30,omitted,N,beta,retained_models,mass_Haiku,mass_Flash-Lite,mass_Luna,mass_Qwen,mass_Grok,winner,winner_mass,target_rate,welfare,opt,uniform_target_rate,uniform_welfare_over_opt,stationary_residual,tree_max_error,welfare_over_opt,winner_changed
composition,ok,0.10000000000000001,Haiku,Flash-Lite,1,10,20.399999999999999,18.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Flash-Lite,2,10,21.199999999999999,18.550000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Flash-Lite,3,10,20.273333333333333,18.306666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Flash-Lite,4,10,20,18.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Flash-Lite,5,10,20.119999999999997,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Haiku,Flash-Lite,1,10,20.399999999999999,18.199999999999999,20,18.966666666666661,1.4333333333333371,2.1999999999999993,2.1999999999999993,0.89286328317761698,1.5655172413793146,0.80090114296123693,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Luna,1,10,22.199999999999999,18.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Luna,2,10,20.670000000000002,17.984999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Luna,3,10,20.826666666666668,17.473333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Luna,4,10,20.539999999999999,17.169999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Luna,5,10,19.155999999999999,18.020000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Haiku,Luna,1,10,22.199999999999999,18.400000000000002,20,18.966666666666661,3.2333333333333378,3.7999999999999972,3.7999999999999972,0.97660758861295072,3.3310344827586249,0.963996094337076,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Qwen,1,10,17.199999999999999,18.720000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Qwen,2,10,17.890000000000001,18.149999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Qwen,3,10,20.293333333333329,18.000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Qwen,4,10,19.089999999999996,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Qwen,5,10,19.476000000000003,17.080000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Haiku,Qwen,1,10,17.199999999999999,18.720000000000002,20,18.966666666666661,-1.7666666666666622,-1.5200000000000031,-1.5200000000000031,0.081167965620603633,-1.7241379310344804,0.00012139694908648434,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Grok,1,10,14.6,19.560000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Grok,2,10,12,20.100000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Grok,3,10,14.333333333333334,20.266666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Grok,4,10,10.449999999999999,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Haiku,Grok,5,10,10.600000000000001,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Haiku,Grok,1,10,14.6,19.560000000000002,20,18.966666666666661,-4.3666666666666618,-4.9600000000000026,-4.9600000000000026,3.6905640849069211e-19,-4.468965517241374,3.1415001488528392e-114,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Haiku,1,10,19,20.119999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Haiku,2,10,18.300000000000001,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Haiku,3,10,18.306666666666665,20.273333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Haiku,4,10,18.550000000000001,21.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Haiku,5,10,18.199999999999999,20.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Flash-Lite,Haiku,1,10,19,20.119999999999997,20,19.983333333333334,-0.98333333333333428,-1.1199999999999974,-1.1199999999999974,5.8295335590161403e-05,-1.0068965517241395,1.6281418289503293e-23,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Luna,1,10,20,19.960000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Luna,2,10,19.690000000000001,19.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Luna,3,10,19.859999999999999,19.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Luna,4,10,19.869999999999997,19.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Luna,5,10,19.672000000000004,19.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Flash-Lite,Luna,1,10,20,19.960000000000001,20,19.983333333333334,0.016666666666665719,0.039999999999999147,0.039999999999999147,0.21592461159434165,0.020689655172411392,0.04820847222868764,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Qwen,1,10,19.32,18.708000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Qwen,2,10,19.800000000000004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Qwen,3,10,19.520000000000003,18.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Qwen,4,10,19.620000000000001,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Qwen,5,10,19.547999999999998,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Flash-Lite,Qwen,1,10,19.32,18.708000000000006,20,19.983333333333334,-0.663333333333334,0.61199999999999477,0.61199999999999477,0.60163635016346673,-0.44344827586207103,0.11738849707960852,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Grok,1,10,11.199999999999999,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Grok,2,10,14.6,20.850000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Grok,3,10,14,21.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Grok,4,10,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Flash-Lite,Grok,5,10,14.199999999999999,21.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Flash-Lite,Grok,1,10,11.199999999999999,20.84,20,19.983333333333334,-8.783333333333335,-9.6400000000000006,-9.6400000000000006,1.7435453193656833e-18,-8.9310344827586228,1.2706507873877103e-112,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Haiku,1,10,18.020000000000003,19.155999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Haiku,2,10,17.169999999999998,20.539999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Haiku,3,10,17.473333333333333,20.826666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Haiku,4,10,17.984999999999999,20.670000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Haiku,5,10,18.400000000000002,22.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Luna,Haiku,1,10,18.020000000000003,19.155999999999999,20,19.699999999999996,-1.6799999999999926,-1.1359999999999957,-1.1359999999999957,5.7551318975229763e-07,-1.5862068965517189,3.6460341145045072e-33,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Flash-Lite,1,10,19.600000000000001,19.672000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Flash-Lite,2,10,19.600000000000001,19.869999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Flash-Lite,3,10,19.600000000000001,19.859999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Flash-Lite,4,10,19.645,19.690000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Flash-Lite,5,10,19.960000000000001,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Luna,Flash-Lite,1,10,19.600000000000001,19.672000000000004,20,19.699999999999996,-0.099999999999994316,-0.072000000000002728,-0.072000000000002728,0.10862801360130736,-0.09517241379310093,0.0048252768497103072,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Qwen,1,10,18.920000000000002,18.616000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Qwen,2,10,19.420000000000005,18.484999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Qwen,3,10,19.760000000000002,18.25333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Qwen,4,10,18.634999999999998,19.390000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Qwen,5,10,19.187999999999999,19.080000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Luna,Qwen,1,10,18.920000000000002,18.616000000000003,20,19.699999999999996,-0.77999999999999403,0.30399999999999849,0.30399999999999849,0.42535738545729906,-0.59310344827585837,0.062441478413129844,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Grok,1,10,12,21.160000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Grok,2,10,12.699999999999999,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Grok,3,10,16.399999999999999,21.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Grok,4,10,12.550000000000001,25.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Luna,Grok,5,10,10.6,28.380000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Luna,Grok,1,10,12,21.160000000000004,20,19.699999999999996,-7.6999999999999957,-9.1600000000000037,-9.1600000000000037,1.3799430260961933e-24,-7.9517241379310342,1.221911624485081e-142,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Haiku,1,10,17.080000000000002,19.476000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Haiku,2,10,18,19.089999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Haiku,3,10,18.000000000000004,20.293333333333329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Haiku,4,10,18.149999999999999,17.890000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Haiku,5,10,18.720000000000002,17.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Qwen,Haiku,1,10,17.080000000000002,19.476000000000003,20,19.484999999999999,-2.4049999999999976,-2.3960000000000008,-2.3960000000000008,0.0014876345735105147,-2.4034482758620683,3.1573923814025125e-14,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Flash-Lite,1,10,18,19.547999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Flash-Lite,2,10,18.09,19.620000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Flash-Lite,3,10,18.199999999999999,19.520000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Flash-Lite,4,10,18,19.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Flash-Lite,5,10,18.708000000000006,19.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Qwen,Flash-Lite,1,10,18,19.547999999999998,20,19.484999999999999,-1.4849999999999994,-1.5479999999999983,-1.5479999999999983,0.00066342013168171942,-1.4958620689655149,1.404727552643441e-15,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Luna,1,10,19.080000000000002,19.187999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Luna,2,10,19.390000000000001,18.634999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Luna,3,10,18.25333333333333,19.760000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Luna,4,10,18.484999999999999,19.420000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Luna,5,10,18.616000000000003,18.920000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Qwen,Luna,1,10,19.080000000000002,19.187999999999999,20,19.484999999999999,-0.40499999999999758,-0.10799999999999699,-0.10799999999999699,0.052157242803136591,-0.35379310344827175,4.0904366238564327e-06,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Grok,1,10,13.800000000000001,20.640000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Grok,2,10,13.01,19.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Grok,3,10,13.733333333333334,20.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Grok,4,10,11.9,18.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Qwen,Grok,5,10,10.880000000000001,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Qwen,Grok,1,10,13.800000000000001,20.640000000000001,20,19.484999999999999,-5.6849999999999987,-6.8399999999999999,-6.8399999999999999,2.6193298555141683e-16,-5.8841379310344806,7.1189316406183794e-101,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Haiku,1,10,23,10.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Haiku,2,10,21.5,10.449999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Haiku,3,10,20.266666666666669,14.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Haiku,4,10,20.100000000000001,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Haiku,5,10,19.560000000000002,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Grok,Haiku,1,10,23,10.600000000000001,20,6.6833333333333327,16.316666666666666,12.399999999999999,12.399999999999999,0.99999588136264961,15.641379310344828,0.99999983892231947,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Flash-Lite,1,10,21.600000000000001,14.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Flash-Lite,2,10,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Flash-Lite,3,10,21.600000000000001,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Flash-Lite,4,10,20.850000000000001,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
