game_id,experiment,language,rep,seed,persona_set,persona_seats,memory_mode,opponent_profile,framing,risk_framing,show_computed_totals,n_players,endowment,contribution_options,target,risk_probability,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,group_contributions,pot_cumulative,group_total,target_reached,catastrophe,mean_payoff,n_parse_failures,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent1_payoff,agent1_parse_failures,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent2_payoff,agent2_parse_failures,agent3_name,agent3_llm,agent3_personality,agent3_knows_opponent_with_prob,agent3_strategies,agent3_scores,agent3_messages,agent3_payoff,agent3_parse_failures,agent4_name,agent4_llm,agent4_personality,agent4_knows_opponent_with_prob,agent4_strategies,agent4_scores,agent4_messages,agent4_payoff,agent4_parse_failures,agent5_name,agent5_llm,agent5_personality,agent5_knows_opponent_with_prob,agent5_strategies,agent5_scores,agent5_messages,agent5_payoff,agent5_parse_failures,agent6_name,agent6_llm,agent6_personality,agent6_knows_opponent_with_prob,agent6_strategies,agent6_scores,agent6_messages,agent6_payoff,agent6_parse_failures
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep0,exp_bestresponse_carry,en,0,12345,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 24, 24, 24, 24, 24, 20, 22, 20, 20]","[22, 46, 70, 94, 118, 142, 162, 184, 204, 224]",224.0,1,0,2.6666666666666665,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 4, 4, 4, 4, 4, 0, 2, 0, 0]","[38, 34, 30, 26, 22, 18, 18, 16, 16, 16]",[],16.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep1,exp_bestresponse_carry,en,1,12346,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 24, 22, 20, 22, 22, 20, 20, 20, 20]","[22, 46, 68, 88, 110, 132, 152, 172, 192, 212]",212.0,1,0,4.666666666666667,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 4, 2, 0, 2, 2, 0, 0, 0, 0]","[38, 34, 32, 32, 30, 28, 28, 28, 28, 28]",[],28.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep2,exp_bestresponse_carry,en,2,12347,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 22, 22, 22, 24, 24, 20, 20, 20, 20]","[22, 44, 66, 88, 112, 136, 156, 176, 196, 216]",216.0,1,0,4.0,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 2, 2, 2, 4, 4, 0, 0, 0, 0]","[38, 36, 34, 32, 28, 24, 24, 24, 24, 24]",[],24.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep3,exp_bestresponse_carry,en,3,12348,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 24, 24, 24, 24, 20, 20, 20, 20, 20]","[22, 46, 70, 94, 118, 138, 158, 178, 198, 218]",218.0,1,0,3.6666666666666665,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 4, 4, 4, 4, 0, 0, 0, 0, 0]","[38, 34, 30, 26, 22, 22, 22, 22, 22, 22]",[],22.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep4,exp_bestresponse_carry,en,4,12349,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 24, 22, 24, 22, 22, 20, 20, 20, 20]","[22, 46, 68, 92, 114, 136, 156, 176, 196, 216]",216.0,1,0,4.0,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 4, 2, 4, 2, 2, 0, 0, 0, 0]","[38, 34, 32, 28, 26, 24, 24, 24, 24, 24]",[],24.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep5,exp_bestresponse_carry,en,5,12350,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 24, 24, 24, 22, 22, 20, 20, 20, 20]","[22, 46, 70, 94, 116, 138, 158, 178, 198, 218]",218.0,1,0,3.6666666666666665,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 4, 4, 4, 2, 2, 0, 0, 0, 0]","[38, 34, 30, 26, 24, 22, 22, 22, 22, 22]",[],22.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep6,exp_bestresponse_carry,en,6,12351,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 24, 24, 24, 24, 24, 20, 20, 20, 20]","[22, 46, 70, 94, 118, 142, 162, 182, 202, 222]",222.0,1,0,3.0,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 4, 4, 4, 4, 4, 0, 0, 0, 0]","[38, 34, 30, 26, 22, 18, 18, 18, 18, 18]",[],18.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep7,exp_bestresponse_carry,en,7,12352,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 22, 24, 22, 22, 20, 20, 20, 20, 20]","[22, 44, 68, 90, 112, 132, 152, 172, 192, 212]",212.0,1,0,4.666666666666667,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 2, 4, 2, 2, 0, 0, 0, 0, 0]","[38, 36, 32, 30, 28, 28, 28, 28, 28, 28]",[],28.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep8,exp_bestresponse_carry,en,8,12353,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 22, 20, 20, 22, 20, 20, 20, 20, 20]","[22, 44, 64, 84, 106, 126, 146, 166, 186, 206]",206.0,1,0,5.666666666666667,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 2, 0, 0, 2, 0, 0, 0, 0, 0]","[38, 36, 36, 36, 34, 34, 34, 34, 34, 34]",[],34.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_low_risk_seats-L44444-8a8cb19f__anthropic-claude-haiku-4-5-20251001__en__rep9,exp_bestresponse_carry,en,9,12354,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.1,True,10,10,False,"[22, 22, 22, 22, 24, 22, 20, 20, 20, 20]","[22, 44, 66, 88, 112, 134, 154, 174, 194, 214]",214.0,1,0,4.333333333333333,0,Player_1,anthropic-claude-haiku-4-5-20251001,neutral,0,"[2, 2, 2, 2, 4, 2, 0, 0, 0, 0]","[38, 36, 34, 32, 28, 26, 26, 26, 26, 26]",[],26.0,0,Player_2,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_3,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,scripted:always_4,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
