game_id,experiment,language,rep,seed,persona_set,persona_seats,memory_mode,opponent_profile,framing,risk_framing,show_computed_totals,n_players,endowment,contribution_options,target,risk_probability,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,group_contributions,pot_cumulative,group_total,target_reached,catastrophe,mean_payoff,n_parse_failures,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent1_payoff,agent1_parse_failures,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent2_payoff,agent2_parse_failures,agent3_name,agent3_llm,agent3_personality,agent3_knows_opponent_with_prob,agent3_strategies,agent3_scores,agent3_messages,agent3_payoff,agent3_parse_failures,agent4_name,agent4_llm,agent4_personality,agent4_knows_opponent_with_prob,agent4_strategies,agent4_scores,agent4_messages,agent4_payoff,agent4_parse_failures,agent5_name,agent5_llm,agent5_personality,agent5_knows_opponent_with_prob,agent5_strategies,agent5_scores,agent5_messages,agent5_payoff,agent5_parse_failures,agent6_name,agent6_llm,agent6_personality,agent6_knows_opponent_with_prob,agent6_strategies,agent6_scores,agent6_messages,agent6_payoff,agent6_parse_failures
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep0,exp_mixed,en,0,12345,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[2, 4]",120.0,0.5,True,10,10,False,"[14, 12, 12, 12, 12, 12, 12, 12, 16, 20]","[14, 26, 38, 50, 62, 74, 86, 98, 114, 134]",134.0,1,0,17.666666666666668,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 4]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 18]",[],18.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 4, 4]","[38, 36, 34, 32, 30, 28, 26, 24, 20, 16]",[],16.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 4]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 18]",[],18.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 2, 2, 2, 4, 4]","[36, 34, 32, 30, 28, 26, 24, 22, 18, 14]",[],14.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep1,exp_mixed,en,1,12346,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[20, 18, 16, 18, 16, 16, 16, 16, 16, 16]","[20, 38, 54, 72, 88, 104, 120, 136, 152, 168]",168.0,1,0,12.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 0, 2, 0, 0, 0, 0, 0, 0]","[38, 36, 36, 34, 34, 34, 34, 34, 34, 34]",[],34.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[38, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],36.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 34, 30, 26, 22, 18, 14, 10, 6, 2]",[],2.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep2,exp_mixed,en,2,12347,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[16, 12, 12, 12, 12, 12, 12, 16, 20, 16]","[16, 28, 40, 52, 64, 76, 88, 104, 124, 140]",140.0,1,0,16.666666666666668,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 22]",[],22.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 22]",[],22.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[38, 36, 34, 32, 30, 28, 26, 22, 18, 14]",[],14.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[36, 34, 32, 30, 28, 26, 24, 20, 16, 12]",[],12.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 4, 4]","[38, 36, 34, 32, 30, 28, 26, 24, 20, 16]",[],16.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 2, 2, 2, 4, 4]","[36, 34, 32, 30, 28, 26, 24, 22, 18, 14]",[],14.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep3,exp_mixed,en,3,12348,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[18, 14, 14, 12, 10, 16, 12, 18, 18, 16]","[18, 32, 46, 58, 68, 84, 96, 114, 132, 148]",148.0,1,0,15.333333333333334,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 0, 2, 0, 0, 0, 0]","[38, 36, 34, 32, 32, 30, 30, 30, 30, 30]",[],30.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 0, 0, 2, 0, 2, 2, 0]","[38, 36, 34, 34, 34, 32, 32, 30, 28, 28]",[],28.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[38, 36, 34, 32, 30, 28, 26, 22, 18, 14]",[],14.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[36, 34, 32, 30, 28, 26, 24, 20, 16, 12]",[],12.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 4, 4, 4, 4, 4]","[36, 34, 32, 30, 28, 24, 20, 16, 12, 8]",[],8.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep4,exp_mixed,en,4,12349,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[18, 14, 16, 12, 12, 12, 14, 16, 16, 16]","[18, 32, 48, 60, 72, 84, 98, 114, 130, 146]",146.0,1,0,15.666666666666666,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0]","[38, 36, 34, 34, 34, 34, 34, 34, 34, 34]",[],34.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 0, 0, 0, 0]","[38, 36, 34, 32, 30, 28, 28, 28, 28, 28]",[],28.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[36, 34, 32, 30, 28, 26, 24, 20, 16, 12]",[],12.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 4, 2, 2, 2, 4, 4, 4, 4]","[36, 34, 30, 28, 26, 24, 20, 16, 12, 8]",[],8.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 4, 4, 4, 4]","[38, 36, 34, 32, 30, 28, 24, 20, 16, 12]",[],12.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep5,exp_mixed,en,5,12350,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[18, 14, 16, 16, 14, 16, 14, 16, 16, 16]","[18, 32, 48, 64, 78, 94, 108, 124, 140, 156]",156.0,1,0,14.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 0, 2, 2, 2, 0, 0, 0, 0, 0]","[38, 38, 36, 34, 32, 32, 32, 32, 32, 32]",[],32.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 0, 2, 0, 0, 0, 0]","[38, 36, 34, 32, 32, 30, 30, 30, 30, 30]",[],30.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 4, 4, 4, 4, 4]","[36, 34, 32, 30, 28, 24, 20, 16, 12, 8]",[],8.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[38, 36, 34, 32, 30, 28, 26, 22, 18, 14]",[],14.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep6,exp_mixed,en,6,12351,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[18, 14, 18, 18, 18, 14, 16, 16, 16, 16]","[18, 32, 50, 68, 86, 100, 116, 132, 148, 164]",164.0,1,0,12.666666666666666,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]","[38, 36, 34, 32, 30, 30, 30, 30, 30, 30]",[],30.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]","[38, 36, 34, 32, 30, 30, 30, 30, 30, 30]",[],30.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 34, 30, 26, 22, 18, 14, 10, 6, 2]",[],2.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 4, 4, 4, 4]","[38, 36, 34, 32, 30, 28, 24, 20, 16, 12]",[],12.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 34, 30, 26, 22, 18, 14, 10, 6, 2]",[],2.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep7,exp_mixed,en,7,12352,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[16, 14, 14, 14, 14, 12, 12, 16, 16, 16]","[16, 30, 44, 58, 72, 84, 96, 112, 128, 144]",144.0,1,0,16.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 0, 0]","[38, 36, 34, 32, 30, 28, 26, 24, 24, 24]",[],24.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]","[38, 36, 34, 32, 30, 30, 30, 30, 30, 30]",[],30.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 4, 4]","[38, 36, 34, 32, 30, 28, 26, 24, 20, 16]",[],16.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[38, 36, 34, 32, 30, 28, 26, 22, 18, 14]",[],14.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 2, 2, 2, 2, 2, 4, 4, 4]","[36, 34, 32, 30, 28, 26, 24, 20, 16, 12]",[],12.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep8,exp_mixed,en,8,12353,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[20, 18, 18, 16, 18, 18, 16, 16, 16, 16]","[20, 38, 56, 72, 90, 108, 124, 140, 156, 172]",172.0,1,0,11.333333333333334,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[38, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],36.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 0, 2, 2, 0, 0, 0, 0]","[38, 36, 34, 34, 32, 30, 30, 30, 30, 30]",[],30.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 2, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 34, 30, 26, 22, 18, 14, 10, 6, 2]",[],2.0,0
crsd_milinski_medium_risk_seats-LLMMMM-073ab187__openai-gpt-5.6-luna__en__rep9,exp_mixed,en,9,12354,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2, 4]",120.0,0.5,True,10,10,False,"[20, 20, 18, 16, 16, 16, 16, 16, 16, 16]","[20, 40, 58, 74, 90, 106, 122, 138, 154, 170]",170.0,1,0,11.666666666666666,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[38, 36, 36, 36, 36, 36, 36, 36, 36, 36]",[],36.0,0,Player_2,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0]","[38, 36, 34, 34, 34, 34, 34, 34, 34, 34]",[],34.0,0,Player_3,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_4,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_5,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0,Player_6,xai-grok-4.20-0309-non-reasoning,neutral,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[36, 32, 28, 24, 20, 16, 12, 8, 4, 0]",[],0.0,0
